Year,Month,Anomaly,Season
1850,01,-0.36,Winter
1850,02,-0.12,Winter
1850,03,-0.23,Winter
1850,04,-0.19,Spring
1850,05,-0.19,Spring
1850,06,-0.1,Spring
1850,07,-0.09,Summer
1850,08,-0.11,Summer
1850,09,-0.18,Summer
1850,10,-0.11,Fall
1850,11,-0.14,Fall
1850,12,-0.06,Fall
1851,01,-0.11,Winter
1851,02,-0.06,Winter
1851,03,-0.23,Winter
1851,04,-0.16,Spring
1851,05,-0.08,Spring
1851,06,-0.14,Spring
1851,07,-0.04,Summer
1851,08,-0.01,Summer
1851,09,0.02,Summer
1851,10,-0.03,Fall
1851,11,-0.04,Fall
1851,12,-0.02,Fall
1852,01,-0.14,Winter
1852,02,-0.07,Winter
1852,03,-0.25,Winter
1852,04,-0.36,Spring
1852,05,0.01,Spring
1852,06,-0.06,Spring
1852,07,-0.04,Summer
1852,08,0.07,Summer
1852,09,-0.01,Summer
1852,10,-0.06,Fall
1852,11,-0.05,Fall
1852,12,-0.08,Fall
1853,01,-0.1,Winter
1853,02,-0.14,Winter
1853,03,-0.14,Winter
1853,04,-0.17,Spring
1853,05,-0.11,Spring
1853,06,-0.06,Spring
1853,07,-0.01,Summer
1853,08,-0.01,Summer
1853,09,-0.11,Summer
1853,10,-0.15,Fall
1853,11,-0.13,Fall
1853,12,-0.21,Fall
1854,01,-0.23,Winter
1854,02,-0.17,Winter
1854,03,-0.04,Winter
1854,04,-0.2,Spring
1854,05,-0.07,Spring
1854,06,-0.06,Spring
1854,07,-0.11,Summer
1854,08,-0.13,Summer
1854,09,-0.05,Summer
1854,10,-0.01,Fall
1854,11,-0.12,Fall
1854,12,0.03,Fall
1855,01,0.01,Winter
1855,02,-0.1,Winter
1855,03,-0.14,Winter
1855,04,-0.08,Spring
1855,05,-0.12,Spring
1855,06,-0.2,Spring
1855,07,-0.12,Summer
1855,08,-0.14,Summer
1855,09,-0.18,Summer
1855,10,-0.03,Fall
1855,11,0.04,Fall
1855,12,-0.2,Fall
1856,01,-0.08,Winter
1856,02,-0.07,Winter
1856,03,-0.27,Winter
1856,04,-0.16,Spring
1856,05,-0.11,Spring
1856,06,-0.14,Spring
1856,07,-0.33,Summer
1856,08,-0.3,Summer
1856,09,-0.18,Summer
1856,10,-0.44,Fall
1856,11,-0.47,Fall
1856,12,-0.36,Fall
1857,01,-0.28,Winter
1857,02,-0.33,Winter
1857,03,-0.31,Winter
1857,04,-0.36,Spring
1857,05,-0.33,Spring
1857,06,-0.29,Spring
1857,07,-0.22,Summer
1857,08,-0.17,Summer
1857,09,-0.19,Summer
1857,10,-0.24,Fall
1857,11,-0.27,Fall
1857,12,-0.15,Fall
1858,01,-0.15,Winter
1858,02,-0.3,Winter
1858,03,-0.18,Winter
1858,04,-0.19,Spring
1858,05,-0.2,Spring
1858,06,-0.18,Spring
1858,07,-0.19,Summer
1858,08,-0.21,Summer
1858,09,-0.19,Summer
1858,10,-0.2,Fall
1858,11,-0.18,Fall
1858,12,-0.18,Fall
1859,01,-0.1,Winter
1859,02,0.02,Winter
1859,03,-0.03,Winter
1859,04,-0.07,Spring
1859,05,-0.08,Spring
1859,06,-0.1,Spring
1859,07,-0.09,Summer
1859,08,-0.13,Summer
1859,09,-0.11,Summer
1859,10,-0.11,Fall
1859,11,-0.06,Fall
1859,12,-0.03,Fall
1860,01,-0.12,Winter
1860,02,-0.1,Winter
1860,03,-0.18,Winter
1860,04,-0.17,Spring
1860,05,-0.14,Spring
1860,06,-0.18,Spring
1860,07,-0.25,Summer
1860,08,-0.24,Summer
1860,09,-0.21,Summer
1860,10,-0.22,Fall
1860,11,-0.32,Fall
1860,12,-0.47,Fall
1861,01,-0.46,Winter
1861,02,-0.31,Winter
1861,03,-0.26,Winter
1861,04,-0.28,Spring
1861,05,-0.23,Spring
1861,06,-0.27,Spring
1861,07,-0.17,Summer
1861,08,-0.1,Summer
1861,09,-0.09,Summer
1861,10,-0.23,Fall
1861,11,-0.25,Fall
1861,12,-0.24,Fall
1862,01,-0.4,Winter
1862,02,-0.35,Winter
1862,03,-0.27,Winter
1862,04,-0.28,Spring
1862,05,-0.34,Spring
1862,06,-0.32,Spring
