horizon,mse,rmse,mae,mape,mdape,smape,coverage
38 days,0.017515176043117874,0.1323449131743184,0.10439325232930377,1.0528524804242492,0.4363447432519686,0.6648088183804856,0.7925
39 days,0.017544172013477303,0.13245441485083576,0.10466431062570786,1.0805240534690401,0.4383855242361889,0.6674044292658934,0.7925
40 days,0.01820027691292649,0.1349084019360043,0.10689511047396696,1.175703570694562,0.44667339369015346,0.6922887175853738,0.78375
41 days,0.02013543484707561,0.14189938282838163,0.11108782107039537,1.2098381530730145,0.46542354597479707,0.726090210164281,0.77
42 days,0.020677033305747227,0.14379510876850862,0.11208018430342075,1.221052932791583,0.49151928305944304,0.7508271618439198,0.76375
43 days,0.020623666677470318,0.14360942405521415,0.11186372140339101,1.2280018704554345,0.5090047785165678,0.7720564791834912,0.76875
44 days,0.020612379101022923,0.14357011910917578,0.11181443776866398,1.2544500604319901,0.530521811237034,0.8051702496777072,0.77
45 days,0.02059119744073008,0.14349633249923177,0.11167170825823661,1.2548384385897855,0.5185375869611073,0.8257193726362274,0.76875
46 days,0.02049397897213989,0.14315718274728617,0.11113623267447124,1.248974244860369,0.5185375869611073,0.8366304399505293,0.77375
47 days,0.02092033966017925,0.14463865202697118,0.11204056583772073,1.2610846042890196,0.5377533241556441,0.855139122405616,0.77
48 days,0.02013079058869539,0.14188301726667427,0.10954502074901504,1.1902912998920727,0.5217614196407416,0.8508273512784954,0.78125
49 days,0.01930096314652074,0.1389279062914314,0.1069804404861666,1.1498742976036334,0.5159251244250485,0.8369672780110398,0.79125
50 days,0.018682604323920812,0.13668432362169705,0.10553929211541334,1.1396405370342402,0.5115112394081403,0.8251444120831087,0.7925
51 days,0.01841266809246388,0.13569328683639395,0.105163299262657,1.1447450727061386,0.4982032714838127,0.8132345391875374,0.795
52 days,0.018829310720731164,0.13721993558055318,0.10541015376862545,1.1241235517709756,0.4485456914244872,0.7590768118474485,0.795
53 days,0.018743908717611227,0.13690839535109317,0.10485797193685566,1.0882583703860491,0.43257382168775815,0.7098771162260707,0.8
54 days,0.01942210706274785,0.13936321990664485,0.10734995125064677,1.136252075370296,0.4208950649995623,0.6936745129482794,0.785
55 days,0.01968776897506062,0.14031311048886566,0.10870566582917585,1.219056816668064,0.4138318828290196,0.6903500988972153,0.77875
56 days,0.01949402754069313,0.1396210139652808,0.10847300656543117,1.2093505218187095,0.406225824378987,0.6818135138961062,0.776875
57 days,0.02016737052365112,0.1420118675451144,0.11050769076493111,1.2097672844838336,0.406225824378987,0.688607296775726,0.775
58 days,0.019897709390695354,0.14105924071359294,0.10929425526903294,1.1964777543660825,0.37734143686345667,0.6841909410984021,0.77375
59 days,0.020248379361034612,0.14229680024875688,0.1100675413085784,1.1777685556185147,0.37734143686345667,0.6790993136468919,0.771875
60 days,0.020576858539425896,0.1434463611926977,0.11198967858061287,1.1789800301971065,0.37734143686345667,0.6802115452055374,0.761875
61 days,0.020195759666411805,0.14211178581107128,0.1102315157396957,1.1626927747735294,0.3637337394677217,0.6697236784131515,0.765625
62 days,0.020526120855336106,0.14326939957763524,0.11131731636460351,1.1864430159712256,0.37423186704376454,0.6800457238452244,0.760625
63 days,0.020672115836541587,0.14377800887667622,0.1120173073283963,1.1950759841680796,0.37831346168410035,0.6851082297310421,0.763125
64 days,0.02126533604653307,0.1458263900894933,0.11409636342908762,1.200229052488513,0.3841357775878288,0.6906971665248328,0.750625
65 days,0.021539912569520436,0.14676482061284454,0.11513660641394446,1.2074779032522123,0.4122628262942396,0.6960708828191146,0.743125
66 days,0.0217244586571665,0.14739219333861106,0.11549388379126223,1.215192243839608,0.4122628262942396,0.6989191207199036,0.74
67 days,0.022199448356294695,0.14899479305094757,0.11757000463649976,1.2475367974440774,0.430116534219421,0.7110247680847743,0.73
68 days,0.022954193148897562,0.15150641289693834,0.12011897663789232,1.3543261330996195,0.4364665218989337,0.729571001318821,0.7165
69 days,0.023464732947152393,0.15318202553547983,0.1213169690443624,1.3522303109822382,0.4419062085991504,0.7356819384280461,0.7175
70 days,0.02331361468537953,0.1526879650967277,0.1201094057246333,1.33482509033499,0.4364665218989337,0.7307206315523493,0.7184999999999999
71 days,0.02445331354581749,0.15637555290331506,0.12381243268885957,1.4811430134308876,0.44875861232921155,0.7640931340261983,0.7
72 days,0.026022724026626417,0.16131560379153165,0.12777179884006362,1.5100157160205483,0.500741608170232,0.7984378987349058,0.68875
73 days,0.025862836624367058,0.1608192669563167,0.12723244623640645,1.51696222163319,0.5136033257297199,0.8181487665755217,0.6975
74 days,0.02578854062590654,0.16058810860679112,0.12672797077701384,1.5184910074154885,0.5244444778540164,0.834980906547014,0.69875
75 days,0.025884453161453238,0.16088646046654528,0.12706700592172535,1.5205649382176325,0.5304019079439504,0.8620206794067405,0.69875
76 days,0.025492298218053818,0.15966307719085782,0.12577425156536218,1.477172530488935,0.5326184669555558,0.8814355703172423,0.7075
77 days,0.025002083050944555,0.1581204700566772,0.12416653842456529,1.3955737652701112,0.5326184669555558,0.8854896411878029,0.7175
78 days,0.024753407994650027,0.15733215817069957,0.12281480066125226,1.331622486973728,0.5304019079439504,0.889870692134301,0.7225
79 days,0.023913153701721413,0.15463878459727176,0.12020340862710457,1.246395646964874,0.5304019079439504,0.8852713992347511,0.73625
80 days,0.022385919325556933,0.14961924784451008,0.11667321125499916,1.2145788132735456,0.5266702002057337,0.8728338271256905,0.74625
81 days,0.021606444445128083,0.14699130737947766,0.11575954116093143,1.2139221448952986,0.5304019079439504,0.863603297639957,0.75
82 days,0.022489402370401545,0.14996467040740477,0.11850101851500126,1.210672009557044,0.5136033257297199,0.8270688546630782,0.725
83 days,0.022634032857824487,0.15044611280396875,0.11815721289302218,1.1963042932347128,0.46821349547691943,0.7889217055828054,0.72
84 days,0.02222310258768114,0.14907415130625812,0.11757831613779268,1.1623298288381827,0.4382147791741689,0.7536188669955645,0.715
85 days,0.0225397887282663,0.1501325705110863,0.11893483307133064,1.1869328014810865,0.4382147791741689,0.7382066898622875,0.715
86 days,0.022444729878884767,0.14981565298354096,0.11872868254050502,1.1655333151784755,0.4231874129868748,0.7229391104657271,0.716875
