,ds,y
0,1850-01-01,-0.36
1,1850-02-01,-0.12
2,1850-03-01,-0.23
3,1850-04-01,-0.19
4,1850-05-01,-0.19
5,1850-06-01,-0.1
6,1850-07-01,-0.09
7,1850-08-01,-0.11
8,1850-09-01,-0.18
9,1850-10-01,-0.11
10,1850-11-01,-0.14
11,1850-12-01,-0.06
12,1851-01-01,-0.11
13,1851-02-01,-0.06
14,1851-03-01,-0.23
15,1851-04-01,-0.16
16,1851-05-01,-0.08
17,1851-06-01,-0.14
18,1851-07-01,-0.04
19,1851-08-01,-0.01
20,1851-09-01,0.02
21,1851-10-01,-0.03
22,1851-11-01,-0.04
23,1851-12-01,-0.02
24,1852-01-01,-0.14
25,1852-02-01,-0.07
26,1852-03-01,-0.25
27,1852-04-01,-0.36
28,1852-05-01,0.01
29,1852-06-01,-0.06
30,1852-07-01,-0.04
31,1852-08-01,0.07
32,1852-09-01,-0.01
33,1852-10-01,-0.06
34,1852-11-01,-0.05
35,1852-12-01,-0.08
36,1853-01-01,-0.1
37,1853-02-01,-0.14
38,1853-03-01,-0.14
39,1853-04-01,-0.17
40,1853-05-01,-0.11
41,1853-06-01,-0.06
42,1853-07-01,-0.01
43,1853-08-01,-0.01
44,1853-09-01,-0.11
45,1853-10-01,-0.15
46,1853-11-01,-0.13
47,1853-12-01,-0.21
48,1854-01-01,-0.23
49,1854-02-01,-0.17
50,1854-03-01,-0.04
51,1854-04-01,-0.2
52,1854-05-01,-0.07
53,1854-06-01,-0.06
54,1854-07-01,-0.11
55,1854-08-01,-0.13
56,1854-09-01,-0.05
57,1854-10-01,-0.01
58,1854-11-01,-0.12
59,1854-12-01,0.03
60,1855-01-01,0.01
61,1855-02-01,-0.1
62,1855-03-01,-0.14
63,1855-04-01,-0.08
64,1855-05-01,-0.12
65,1855-06-01,-0.2
66,1855-07-01,-0.12
67,1855-08-01,-0.14
68,1855-09-01,-0.18
69,1855-10-01,-0.03
70,1855-11-01,0.04
71,1855-12-01,-0.2
72,1856-01-01,-0.08
73,1856-02-01,-0.07
74,1856-03-01,-0.27
75,1856-04-01,-0.16
76,1856-05-01,-0.11
77,1856-06-01,-0.14
78,1856-07-01,-0.33
79,1856-08-01,-0.3
80,1856-09-01,-0.18
81,1856-10-01,-0.44
82,1856-11-01,-0.47
83,1856-12-01,-0.36
84,1857-01-01,-0.28
85,1857-02-01,-0.33
86,1857-03-01,-0.31
87,1857-04-01,-0.36
88,1857-05-01,-0.33
89,1857-06-01,-0.29
90,1857-07-01,-0.22
91,1857-08-01,-0.17
92,1857-09-01,-0.19
93,1857-10-01,-0.24
94,1857-11-01,-0.27
95,1857-12-01,-0.15
96,1858-01-01,-0.15
97,1858-02-01,-0.3
98,1858-03-01,-0.18
99,1858-04-01,-0.19
100,1858-05-01,-0.2
101,1858-06-01,-0.18
102,1858-07-01,-0.19
103,1858-08-01,-0.21
104,1858-09-01,-0.19
105,1858-10-01,-0.2
106,1858-11-01,-0.18
107,1858-12-01,-0.18
108,1859-01-01,-0.1
109,1859-02-01,0.02
110,1859-03-01,-0.03
111,1859-04-01,-0.07
112,1859-05-01,-0.08
113,1859-06-01,-0.1
114,1859-07-01,-0.09
115,1859-08-01,-0.13
116,1859-09-01,-0.11
117,1859-10-01,-0.11
118,1859-11-01,-0.06
119,1859-12-01,-0.03
120,1860-01-01,-0.12
121,1860-02-01,-0.1
122,1860-03-01,-0.18
123,1860-04-01,-0.17
124,1860-05-01,-0.14
125,1860-06-01,-0.18
126,1860-07-01,-0.25
127,1860-08-01,-0.24
128,1860-09-01,-0.21
129,1860-10-01,-0.22
130,1860-11-01,-0.32
131,1860-12-01,-0.47
132,1861-01-01,-0.46
133,1861-02-01,-0.31
134,1861-03-01,-0.26
135,1861-04-01,-0.28
136,1861-05-01,-0.23
137,1861-06-01,-0.27
138,1861-07-01,-0.17
139,1861-08-01,-0.1
140,1861-09-01,-0.09
141,1861-10-01,-0.23
142,1861-11-01,-0.25
143,1861-12-01,-0.24
144,1862-01-01,-0.4
145,1862-02-01,-0.35
146,1862-03-01,-0.27
147,1862-04-01,-0.28
148,1862-05-01,-0.34
149,1862-06-01,-0.32
150,1862-07-01,-0.29
151,1862-08-01,-0.3
152,1862-09-01,-0.23
153,1862-10-01,-0.27
154,1862-11-01,-0.19
155,1862-12-01,-0.28
156,1863-01-01,-0.05
157,1863-02-01,-0.08
158,1863-03-01,-0.12
159,1863-04-01,-0.15
160,1863-05-01,-0.12
161,1863-06-01,-0.24
162,1863-07-01,-0.23
163,1863-08-01,-0.14
164,1863-09-01,-0.2
165,1863-10-01,-0.22
166,1863-11-01,-0.18
167,1863-12-01,-0.08
168,1864-01-01,-0.35
169,1864-02-01,-0.2
170,1864-03-01,-0.18
171,1864-04-01,-0.2
172,1864-05-01,-0.13
173,1864-06-01,-0.09
174,1864-07-01,-0.15
175,1864-08-01,-0.17
176,1864-09-01,-0.24
177,1864-10-01,-0.27
178,1864-11-01,-0.19
179,1864-12-01,-0.11
180,1865-01-01,-0.05
181,1865-02-01,-0.25
182,1865-03-01,-0.18
183,1865-04-01,-0.16
184,1865-05-01,-0.17
185,1865-06-01,-0.13
186,1865-07-01,-0.07
187,1865-08-01,-0.09
188,1865-09-01,-0.09
189,1865-10-01,-0.15
190,1865-11-01,-0.1
191,1865-12-01,-0.11
192,1866-01-01,0.09
193,1866-02-01,-0.06
194,1866-03-01,-0.07
195,1866-04-01,-0.17
196,1866-05-01,-0.18
197,1866-06-01,-0.1
198,1866-07-01,-0.06
199,1866-08-01,-0.18
200,1866-09-01,-0.2
201,1866-10-01,-0.19
202,1866-11-01,-0.06
203,1866-12-01,-0.1
204,1867-01-01,-0.22
205,1867-02-01,-0.09
206,1867-03-01,-0.21
207,1867-04-01,-0.19
208,1867-05-01,-0.27
209,1867-06-01,-0.19
210,1867-07-01,-0.22
211,1867-08-01,-0.12
212,1867-09-01,-0.04
213,1867-10-01,-0.13
214,1867-11-01,-0.16
215,1867-12-01,-0.34
216,1868-01-01,-0.42
217,1868-02-01,-0.23
218,1868-03-01,-0.09
219,1868-04-01,-0.1
220,1868-05-01,-0.1
221,1868-06-01,-0.04
222,1868-07-01,-0.11
223,1868-08-01,-0.11
224,1868-09-01,-0.18
225,1868-10-01,-0.14
226,1868-11-01,-0.14
227,1868-12-01,-0.09
228,1869-01-01,-0.15
229,1869-02-01,0.02
230,1869-03-01,-0.15
231,1869-04-01,-0.11
232,1869-05-01,-0.11
233,1869-06-01,-0.09
234,1869-07-01,-0.15
235,1869-08-01,-0.19
236,1869-09-01,-0.17
237,1869-10-01,-0.24
238,1869-11-01,-0.01
239,1869-12-01,-0.07
240,1870-01-01,-0.05
241,1870-02-01,-0.16
242,1870-03-01,-0.05
243,1870-04-01,-0.12
244,1870-05-01,-0.12
245,1870-06-01,-0.16
246,1870-07-01,-0.11
247,1870-08-01,-0.16
248,1870-09-01,-0.2
249,1870-10-01,-0.31
250,1870-11-01,-0.23
251,1870-12-01,-0.37
252,1871-01-01,-0.28
253,1871-02-01,-0.31
254,1871-03-01,-0.01
255,1871-04-01,-0.01
256,1871-05-01,-0.13
257,1871-06-01,-0.13
258,1871-07-01,-0.09
259,1871-08-01,-0.16
260,1871-09-01,-0.23
261,1871-10-01,-0.25
262,1871-11-01,-0.23
263,1871-12-01,-0.24
264,1872-01-01,-0.19
265,1872-02-01,-0.19
266,1872-03-01,-0.21
267,1872-04-01,-0.2
268,1872-05-01,-0.17
269,1872-06-01,-0.17
270,1872-07-01,-0.13
271,1872-08-01,-0.1
272,1872-09-01,-0.19
273,1872-10-01,-0.14
274,1872-11-01,-0.17
275,1872-12-01,-0.29
276,1873-01-01,-0.11
277,1873-02-01,-0.18
278,1873-03-01,-0.27
279,1873-04-01,-0.44
280,1873-05-01,-0.3
281,1873-06-01,-0.14
282,1873-07-01,-0.13
283,1873-08-01,-0.09
284,1873-09-01,-0.2
285,1873-10-01,-0.17
286,1873-11-01,-0.19
287,1873-12-01,-0.13
288,1874-01-01,-0.06
289,1874-02-01,-0.18
290,1874-03-01,-0.29
291,1874-04-01,-0.3
292,1874-05-01,-0.3
293,1874-06-01,-0.26
294,1874-07-01,-0.15
295,1874-08-01,-0.14
296,1874-09-01,-0.16
297,1874-10-01,-0.2
298,1874-11-01,-0.26
299,1874-12-01,-0.27
300,1875-01-01,-0.4
301,1875-02-01,-0.21
302,1875-03-01,-0.21
303,1875-04-01,-0.22
304,1875-05-01,-0.1
305,1875-06-01,-0.08
306,1875-07-01,-0.11
307,1875-08-01,-0.09
308,1875-09-01,-0.17
309,1875-10-01,-0.15
310,1875-11-01,-0.35
311,1875-12-01,-0.31
312,1876-01-01,-0.26
313,1876-02-01,-0.24
314,1876-03-01,-0.16
315,1876-04-01,-0.28
316,1876-05-01,-0.35
317,1876-06-01,-0.19
318,1876-07-01,-0.16
319,1876-08-01,-0.15
320,1876-09-01,-0.19
321,1876-10-01,-0.16
322,1876-11-01,-0.26
323,1876-12-01,-0.23
324,1877-01-01,-0.16
325,1877-02-01,-0.02
326,1877-03-01,0.03
327,1877-04-01,-0.1
328,1877-05-01,-0.05
329,1877-06-01,0.06
330,1877-07-01,0.12
331,1877-08-01,0.11
332,1877-09-01,0.13
333,1877-10-01,0.11
334,1877-11-01,0.19
335,1877-12-01,0.1
336,1878-01-01,0.1
337,1878-02-01,0.23
338,1878-03-01,0.25
339,1878-04-01,0.06
340,1878-05-01,0.04
341,1878-06-01,0.1
342,1878-07-01,0.05
343,1878-08-01,0.03
344,1878-09-01,0.02
345,1878-10-01,-0.05
346,1878-11-01,-0.09
347,1878-12-01,-0.08
348,1879-01-01,-0.07
349,1879-02-01,-0.04
350,1879-03-01,-0.04
351,1879-04-01,-0.06
352,1879-05-01,-0.05
353,1879-06-01,-0.12
354,1879-07-01,-0.08
355,1879-08-01,-0.18
356,1879-09-01,-0.14
357,1879-10-01,-0.08
358,1879-11-01,-0.24
359,1879-12-01,-0.31
360,1880-01-01,-0.16
361,1880-02-01,-0.18
362,1880-03-01,-0.11
363,1880-04-01,-0.15
364,1880-05-01,-0.07
365,1880-06-01,-0.2
366,1880-07-01,-0.23
367,1880-08-01,-0.14
368,1880-09-01,-0.17
369,1880-10-01,-0.31
370,1880-11-01,-0.18
371,1880-12-01,-0.17
372,1881-01-01,-0.16
373,1881-02-01,-0.17
374,1881-03-01,-0.08
375,1881-04-01,-0.02
376,1881-05-01,0.1
377,1881-06-01,-0.19
378,1881-07-01,-0.09
379,1881-08-01,-0.05
380,1881-09-01,-0.17
381,1881-10-01,-0.25
382,1881-11-01,-0.26
383,1881-12-01,-0.08
384,1882-01-01,0.15
385,1882-02-01,0.05
386,1882-03-01,-0.02
387,1882-04-01,-0.19
388,1882-05-01,-0.2
389,1882-06-01,-0.22
390,1882-07-01,-0.18
391,1882-08-01,-0.08
392,1882-09-01,-0.11
393,1882-10-01,-0.29
394,1882-11-01,-0.23
395,1882-12-01,-0.25
396,1883-01-01,-0.33
397,1883-02-01,-0.35
398,1883-03-01,-0.18
399,1883-04-01,-0.18
400,1883-05-01,-0.16
401,1883-06-01,-0.16
402,1883-07-01,-0.12
403,1883-08-01,-0.16
404,1883-09-01,-0.29
405,1883-10-01,-0.24
406,1883-11-01,-0.28
407,1883-12-01,-0.23
408,1884-01-01,-0.17
409,1884-02-01,-0.21
410,1884-03-01,-0.3
411,1884-04-01,-0.36
412,1884-05-01,-0.32
413,1884-06-01,-0.32
414,1884-07-01,-0.36
415,1884-08-01,-0.32
416,1884-09-01,-0.31
417,1884-10-01,-0.3
418,1884-11-01,-0.41
419,1884-12-01,-0.33
420,1885-01-01,-0.57
421,1885-02-01,-0.36
422,1885-03-01,-0.27
423,1885-04-01,-0.36
424,1885-05-01,-0.4
425,1885-06-01,-0.36
426,1885-07-01,-0.37
427,1885-08-01,-0.31
428,1885-09-01,-0.27
429,1885-10-01,-0.27
430,1885-11-01,-0.24
431,1885-12-01,-0.09
432,1886-01-01,-0.29
433,1886-02-01,-0.31
434,1886-03-01,-0.27
435,1886-04-01,-0.2
436,1886-05-01,-0.21
437,1886-06-01,-0.27
438,1886-07-01,-0.21
439,1886-08-01,-0.29
440,1886-09-01,-0.27
441,1886-10-01,-0.21
442,1886-11-01,-0.24
443,1886-12-01,-0.27
444,1887-01-01,-0.53
445,1887-02-01,-0.42
446,1887-03-01,-0.26
447,1887-04-01,-0.28
448,1887-05-01,-0.27
449,1887-06-01,-0.24
450,1887-07-01,-0.28
451,1887-08-01,-0.34
452,1887-09-01,-0.19
453,1887-10-01,-0.34
454,1887-11-01,-0.26
455,1887-12-01,-0.26
456,1888-01-01,-0.3
457,1888-02-01,-0.32
458,1888-03-01,-0.33
459,1888-04-01,-0.19
460,1888-05-01,-0.15
461,1888-06-01,-0.11
462,1888-07-01,-0.12
463,1888-08-01,-0.18
464,1888-09-01,-0.14
465,1888-10-01,-0.05
466,1888-11-01,-0.07
467,1888-12-01,-0.05
468,1889-01-01,-0.04
469,1889-02-01,0.1
470,1889-03-01,0.05
471,1889-04-01,0.04
472,1889-05-01,0.02
473,1889-06-01,-0.03
474,1889-07-01,-0.06
475,1889-08-01,-0.12
476,1889-09-01,-0.18
477,1889-10-01,-0.24
478,1889-11-01,-0.28
479,1889-12-01,-0.2
480,1890-01-01,-0.36
481,1890-02-01,-0.27
482,1890-03-01,-0.23
483,1890-04-01,-0.21
484,1890-05-01,-0.25
485,1890-06-01,-0.2
486,1890-07-01,-0.24
487,1890-08-01,-0.33
488,1890-09-01,-0.27
489,1890-10-01,-0.3
490,1890-11-01,-0.44
491,1890-12-01,-0.23
492,1891-01-01,-0.27
493,1891-02-01,-0.34
494,1891-03-01,-0.21
495,1891-04-01,-0.21
496,1891-05-01,-0.1
497,1891-06-01,-0.13
498,1891-07-01,-0.12
499,1891-08-01,-0.14
500,1891-09-01,-0.1
501,1891-10-01,-0.22
502,1891-11-01,-0.31
503,1891-12-01,-0.06
504,1892-01-01,-0.21
505,1892-02-01,-0.14
506,1892-03-01,-0.26
507,1892-04-01,-0.22
508,1892-05-01,-0.17
509,1892-06-01,-0.19
510,1892-07-01,-0.3
511,1892-08-01,-0.26
512,1892-09-01,-0.16
513,1892-10-01,-0.23
514,1892-11-01,-0.37
515,1892-12-01,-0.48
516,1893-01-01,-0.67
517,1893-02-01,-0.58
518,1893-03-01,-0.28
519,1893-04-01,-0.24
520,1893-05-01,-0.31
521,1893-06-01,-0.2
522,1893-07-01,-0.21
523,1893-08-01,-0.28
524,1893-09-01,-0.28
525,1893-10-01,-0.26
526,1893-11-01,-0.24
527,1893-12-01,-0.28
528,1894-01-01,-0.36
529,1894-02-01,-0.16
530,1894-03-01,-0.16
531,1894-04-01,-0.31
532,1894-05-01,-0.21
533,1894-06-01,-0.29
534,1894-07-01,-0.2
535,1894-08-01,-0.21
536,1894-09-01,-0.24
537,1894-10-01,-0.28
538,1894-11-01,-0.26
539,1894-12-01,-0.19
540,1895-01-01,-0.35
541,1895-02-01,-0.37
542,1895-03-01,-0.32
543,1895-04-01,-0.2
544,1895-05-01,-0.18
545,1895-06-01,-0.18
546,1895-07-01,-0.15
547,1895-08-01,-0.15
548,1895-09-01,-0.1
549,1895-10-01,-0.12
550,1895-11-01,-0.15
551,1895-12-01,-0.08
552,1896-01-01,-0.15
553,1896-02-01,-0.04
554,1896-03-01,-0.16
555,1896-04-01,-0.13
